URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/421366/physics-with-astrophysics-undergraduate-foundation-programme.html?ref=search_card,Physics with Astrophysics - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/304931/digital-finance-and-fintech.html?ref=search_card,Digital Finance and FinTech,Bachelor,GBSB Global Business School,"989,325 NPR / year",Birkirkara,Malta,3 years
https://www.bachelorsportal.com/studies/285012/medicine-and-surgery-undergraduate-foundation-programme.html?ref=search_card,Medicine and Surgery - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/490101/mathematics-with-economics-undergraduate-foundation-programme.html?ref=search_card,Mathematics with Economics - Undergraduate Foundation Programme,Bachelor,"Birkbeck, University of London","4,562,605 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103293/mathematics.html?ref=search_card,Mathematics,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/455311/teacher-education.html?ref=search_card,Teacher Education,Bachelor,University of Canterbury,"2,907,392 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/462860/bachelor-of-commerce.html?ref=search_card,Bachelor of Commerce (Professional),Bachelor,Manipal Academy of Higher Education,"784,884 NPR / year",Dubai,United Arab Emirates,3 years
https://www.bachelorsportal.com/studies/426973/management-with-international-business-undergraduate-foundation-programme.html?ref=search_card,Management with International Business (Year in Business) - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/425316/history-and-journalism-undergraduate-foundation-programme.html?ref=search_card,History and Journalism - Undergraduate Foundation Programme,Bachelor,"Goldsmiths, University of London","4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/422322/veterinary-medicine-undergraduate-foundation-programme.html?ref=search_card,Veterinary Medicine - Undergraduate Foundation Programme,Bachelor,The University of Lancashire,"3,858,390 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/426980/computer-science-undergraduate-foundation-programme.html?ref=search_card,Computer Science - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/428483/biomedical-sciences-undergraduate-foundation-programme.html?ref=search_card,Biomedical Sciences - Undergraduate Foundation Programme,Bachelor,Royal Holloway University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/455289/philosophy-politics-and-economics.html?ref=search_card,"Philosophy, Politics and Economics",Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/103373/sociology.html?ref=search_card,Sociology,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/429025/management-with-accounting-international-year-one.html?ref=search_card,Management with Accounting - International Year One,Bachelor,Royal Holloway University of London,"4,426,496 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452605/environmental-science-undergraduate-foundation-programme.html?ref=search_card,Environmental Science - Undergraduate Foundation Programme,Bachelor,Queen Mary University of London,"4,533,016 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/299847/computer-science.html?ref=search_card,Computer Science,Bachelor,Full Sail University,"7,154,281 NPR / year",Winter Park,United States,"1 year, 10 months"
https://www.bachelorsportal.com/studies/455185/international-affairs.html?ref=search_card,International Affairs,Bachelor,University of Canterbury,"2,973,024 NPR / year",Christchurch,New Zealand,3 years
