URL,Course,Degree,University,Tuition Fee,City,Country,Duration
https://www.bachelorsportal.com/studies/96884/creative-industries.html?ref=search_card,Creative IndustriesCreative IndustriesToronto Metropolitan University,N/A,Provided by university,"4,006,136 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/455185/international-affairs.html?ref=search_card,International AffairsInternational AffairsUniversity of Canterbury,N/A,Provided by university,"3,018,548 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/491750/undergraduate-foundation-programme.html?ref=search_card,Undergraduate Foundation ProgrammeUndergraduate Foundation ProgrammeThe University of Lancashire,N/A,Provided by university,"3,498,641 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103118/european-and-european-union-studies.html?ref=search_card,European and European Union StudiesEuropean and European Union StudiesUniversity of Canterbury,N/A,Provided by university,"3,018,548 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/422401/undergraduate-foundation-programme-life-sciences.html?ref=search_card,Undergraduate Foundation Programme – Life SciencesUndergraduate Foundation Programme – Life SciencesRoyal College of Surgeons in Ireland,N/A,,"3,912,716 NPR / full",Dublin,Ireland,9 months
https://www.bachelorsportal.com/studies/488225/aerospace-engineering.html?ref=search_card,Aerospace Engineering (Honours)Aerospace Engineering (Honours)Newcastle University,N/A,Provided by university,"6,141,124 NPR / year",Newcastle upon Tyne,United Kingdom,3 years
https://www.bachelorsportal.com/studies/493307/political-science-with-research.html?ref=search_card,Political Science with Research (Honours)Amity University Noida,N/A,,"502,356 NPR / year",Noida,India,4 years
https://www.bachelorsportal.com/studies/292108/digital-communications-and-pr.html?ref=search_card,Digital Communications and PRGBSB Global Business School,N/A,,"2,414,194 NPR / year",Barcelona,Spain,3 years
https://www.bachelorsportal.com/studies/21022/visual-effects-and-motion-graphics.html?ref=search_card,Visual Effects and Motion GraphicsVisual Effects and Motion GraphicsBrunel University of London,N/A,Provided by university,"4,959,908 NPR / year",London,United Kingdom,3 years
https://www.bachelorsportal.com/studies/320056/performance.html?ref=search_card,PerformancePerformanceUniversity of Canterbury,N/A,Provided by university,"3,418,367 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/180771/fashion-design.html?ref=search_card,Fashion DesignFashion DesignManipal Academy of Higher Education,N/A,Provided by university,"597,069 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/303246/economics-and-business-undergraduate-foundation-programme.html?ref=search_card,"Economics and Business - Undergraduate Foundation ProgrammeEconomics and Business - Undergraduate Foundation ProgrammeBirkbeck, University of London",N/A,,"4,626,847 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/490060/creative-writing-and-english-undergraduate-foundation-programme.html?ref=search_card,"Creative Writing and English - Undergraduate Foundation ProgrammeCreative Writing and English - Undergraduate Foundation ProgrammeBirkbeck, University of London",N/A,,"4,626,847 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/492274/computer-science-for-cybersecurity-undergraduate-foundation-programme.html?ref=search_card,www.bachelorsportal.com,Bachelor,N/A,N/A,N/A,N/A,N/A
https://www.bachelorsportal.com/studies/137844/psychology.html?ref=search_card,PsychologyPsychologyTrent University,N/A,,"3,587,311 NPR / year",Peterborough,Canada,4 years
https://www.bachelorsportal.com/studies/462717/human-resource-management.html?ref=search_card,Human Resource ManagementHuman Resource ManagementManipal Academy of Higher Education,N/A,Provided by university,"856,454 NPR / year",Manipal,India,3 years
https://www.bachelorsportal.com/studies/455161/biosecurity.html?ref=search_card,BiosecurityBiosecurityUniversity of Canterbury,N/A,Provided by university,"3,641,643 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/103830/bachelor-of-applied-science.html?ref=search_card,Bachelor of Applied Science (Architectural Science)Bachelor of Applied Science (Architectural Science)Curtin University,Bachelor,Provided by university,"4,012,583 NPR / year",Perth,Australia,3 years
https://www.bachelorsportal.com/studies/426710/economics-undergraduate-foundation-programme.html?ref=search_card,Economics - Undergraduate Foundation ProgrammeEconomics - Undergraduate Foundation ProgrammeRoyal Holloway University of London,N/A,,"4,488,822 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/474547/respiratory-therapy.html?ref=search_card,Respiratory TherapyRespiratory TherapyManipal Academy of Higher Education,N/A,Provided by university,"744,447 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/484768/biotechnology-international.html?ref=search_card,Biotechnology (Honours) - InternationalAmity University Noida,N/A,,"921,784 NPR / year",Noida,India,3 years
https://www.bachelorsportal.com/studies/455159/biomedical-engineering.html?ref=search_card,Biomedical Engineering (Hons)Biomedical Engineering (Hons)University of Canterbury,N/A,Provided by university,"4,106,368 NPR / year",Christchurch,New Zealand,4 years
https://www.bachelorsportal.com/studies/320040/industrial-product-design.html?ref=search_card,Industrial Product DesignIndustrial Product DesignUniversity of Canterbury,N/A,Provided by university,"3,906,458 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/425881/psychology-with-cognitive-neuroscience-undergraduate-foundation-programme.html?ref=search_card,"Psychology with Cognitive Neuroscience - Undergraduate Foundation ProgrammePsychology with Cognitive Neuroscience - Undergraduate Foundation ProgrammeGoldsmiths, University of London",N/A,,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/490088/entrepreneurship-and-innovation-undergraduate-foundation-programme.html?ref=search_card,"Entrepreneurship and Innovation - Undergraduate Foundation ProgrammeEntrepreneurship and Innovation - Undergraduate Foundation ProgrammeBirkbeck, University of London",N/A,,"4,626,847 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/284941/mathematics-undergraduate-foundation-programme.html?ref=search_card,Mathematics - Undergraduate Foundation ProgrammeMathematics - Undergraduate Foundation ProgrammeThe University of Lancashire,N/A,Provided by university,"3,912,716 NPR / full",Preston,United Kingdom,9 months
https://www.bachelorsportal.com/studies/452679/global-law-university-of-london-international-foundation-programme.html?ref=search_card,"Global Law - University of London International Foundation ProgrammeGlobal Law - University of London International Foundation ProgrammeBirkbeck, University of London",N/A,,"4,734,867 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/425108/economics-with-marketing-undergraduate-foundation-programme.html?ref=search_card,"Economics with Marketing - Undergraduate Foundation ProgrammeEconomics with Marketing - Undergraduate Foundation ProgrammeGoldsmiths, University of London",N/A,,"4,488,822 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/103094/english.html?ref=search_card,EnglishEnglishUniversity of Canterbury,N/A,Provided by university,"3,018,548 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/452593/physics-with-astrophysics-undergraduate-foundation-programme.html?ref=search_card,Physics with Astrophysics - Undergraduate Foundation ProgrammePhysics with Astrophysics - Undergraduate Foundation ProgrammeQueen Mary University of London,N/A,Provided by university,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/96810/arts-and-contemporary-studies.html?ref=search_card,Arts and Contemporary Studies (Hons)Arts and Contemporary Studies (Hons)Toronto Metropolitan University,N/A,Provided by university,"4,003,201 NPR / year",Toronto,Canada,4 years
https://www.bachelorsportal.com/studies/473366/digital-media-arts.html?ref=search_card,Digital Media ArtsDigital Media ArtsManipal Academy of Higher Education,N/A,Provided by university,"1,855,449 NPR / year",Manipal,India,4 years
https://www.bachelorsportal.com/studies/428498/zoology-undergraduate-foundation-programme.html?ref=search_card,Zoology - Undergraduate Foundation ProgrammeZoology - Undergraduate Foundation ProgrammeRoyal Holloway University of London,N/A,,"4,596,842 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/426763/management-with-human-resources-undergraduate-foundation-programme.html?ref=search_card,Management with Human Resources - Undergraduate Foundation ProgrammeManagement with Human Resources - Undergraduate Foundation ProgrammeRoyal Holloway University of London,N/A,,"4,488,822 NPR / full",London,United Kingdom,9 months
https://www.bachelorsportal.com/studies/455162/business-analytics.html?ref=search_card,Business AnalyticsBusiness AnalyticsUniversity of Canterbury,N/A,Provided by university,"3,641,643 NPR / year",Christchurch,New Zealand,3 years
https://www.bachelorsportal.com/studies/491752/veterinary-medicine-medicine-undergraduate-foundation-programme.html?ref=search_card,Veterinary Medicine - Medicine Undergraduate Foundation ProgrammeVeterinary Medicine - Medicine Undergraduate Foundation ProgrammeUniversity of Nicosia,N/A,,"5,791,060 NPR / full",Nicosia,Cyprus,9 months
https://www.bachelorsportal.com/studies/303247/financial-economics-undergraduate-foundation-programme.html?ref=search_card,"Financial Economics - Undergraduate Foundation ProgrammeFinancial Economics - Undergraduate Foundation ProgrammeBirkbeck, University of London",N/A,,"4,626,847 NPR / full",London,United Kingdom,9 months
